e_pas,ena,ek,Rin,tau,RMP
-80,50,-105,1.146739569865837,60.936551518362144,-65.33937565496905
-80,50,-100,1.1492890127794246,60.790799370247925,-65.29856881259357
-80,50,-95,1.1518680519649849,60.644315593366876,-65.25734813104222
-80,50,-90,1.1544773990517072,60.49709263929526,-65.2157038516923
-80,50,-85,1.1571177929263217,60.349100278272815,-65.17362584334852
-80,50,-80,1.159790001191807,60.20033093772178,-65.13110358229896
-80,55,-110,1.1451814273197305,61.05322186854809,-65.36607765314632
-80,55,-105,1.1477160558417399,60.90792863495852,-65.32548098497877
-80,55,-100,1.1502799729508244,60.761911532458605,-65.28447471677386
-80,55,-95,1.15287387966811,60.61515626048009,-65.24304923556191
-80,55,-90,1.1554985037470882,60.46765460947012,-65.20119456302727
-80,55,-85,1.158154601097981,60.31937677716958,-65.15890033603714
-80,55,-80,1.1608429573103594,60.170314579529524,-65.11615578582196
-75,25,-110,1.2164009624075645,58.09528059325284,-60.4982992805854
-75,25,-105,1.221319479188227,57.84891463469509,-60.42148618527673
-75,25,-100,1.2263499278752903,57.600091266154685,-60.34311280827275
-75,25,-95,1.2314978395082943,57.3487066955508,-60.26310259810272
-75,25,-90,1.2367691934913216,57.09464887774727,-60.181372751834964
-75,25,-85,1.2421704695505458,56.83779614078149,-60.09783348243009
-75,25,-80,1.2477087076636155,56.578017682389465,-60.01238717214766
-75,30,-110,1.2194637601672462,58.02286632776119,-60.455283090617314
-75,30,-105,1.2244715652735811,57.77512391210826,-60.37724578926357
-75,30,-100,1.2295962581435373,57.524851571348115,-60.297580262976986
-75,30,-95,1.2348437969605632,57.27193912261793,-60.21620406667495
-75,30,-90,1.240220639606002,57.01626656163926,-60.13302778866646
-75,30,-85,1.2457338036837537,56.75770622258315,-60.04795420426002
-75,30,-80,1.251390936107094,56.49611517268035,-59.96087729268566
-75,35,-110,1.222591179548318,57.94975753782619,-60.4113870437286
-75,35,-105,1.2276923327216227,57.70059199973078,-60.33207024159987
-75,35,-100,1.2329157057905598,57.44881940804926,-60.25105212098247
-75,35,-95,1.238267731464611,57.194322394073495,-60.16824368939843
-75,35,-90,1.2437554011753023,56.936973353430766,-60.08354816537702
-75,35,-85,1.2493863347204661,56.676634545547,-59.996859996396104
-75,35,-80,1.2551688614407208,56.41315303243729,-59.9080637119564
-75,40,-110,1.2257863443410342,57.87592581205507,-60.36656881634824
-75,40,-105,1.230985217445047,57.6252872944232,-60.285912974437345
-75,40,-100,1.236312060230792,57.37195935011884,-60.20347700374367
-75,40,-95,1.241773834286737,57.11581621684348,-60.11916461431943
-75,40,-90,1.2473781280855674,56.85672357375956,-60.03287077738647
-75,40,-85,1.2531332381624396,56.59453076904577,-59.94448058056623
-75,40,-80,1.2590482642825653,56.32907568358288,-59.853867883078195
-75,45,-110,1.2290526251804268,57.80134063287509,-60.320782747144484
-75,45,-105,1.2343539367161454,57.54917567551914,-60.23872361293196
-75,45,-100,1.2397894328038084,57.29423326706003,-60.15479917357598
-75,45,-95,1.245366666530218,57.036379307985314,-60.068904977364234
-75,45,-90,1.251093896945875,56.77546868624678,-59.9809267315956
-75,45,-85,1.256980184153931,56.51133981598215,-59.89073896150432
-75,45,-80,1.2630355014755008,56.2438189793454,-59.79820342495164
-75,50,-110,1.2323936672407998,57.72596910556673,-60.27397946277471
-75,50,-105,1.2378025219201645,57.472220313288226,-60.190447532167695
-75,50,-100,1.2433522957055811,57.21559903216315,-60.10495800639495
-75,50,-95,1.2490512056579623,56.955963782656525,-60.01739727144939
-75,50,-90,1.2549082670010088,56.693155645225765,-59.927640587057844
-75,50,-85,1.260933405093249,56.42700293474624,-59.83555050726321
-75,50,-80,1.2671375883844405,56.157314698657174,-59.74097500078081
-75,55,-110,1.2358134220232624,57.649775708884974,-60.22610544830356
-75,55,-105,1.2413353563379472,57.39438123020239,-60.14102534599449
-75,55,-100,1.24700552713843,57.13601323805924,-60.05388738013131
-75,55,-95,1.2528328997565013,56.874518551624696,-59.96456761042997
-75,55,-90,1.2588273457513643,56.60972630575792,-59.87292946352395
-75,55,-85,1.264999775510458,56.34145209583915,-59.778821862193375
-75,55,-80,1.2713622968236773,56.069486800425764,-59.68207698283699
